Ship Collision Detection,Recursive Update,Particle Update,Bullet Update,Enemyships Update,Particle Draw
7.80768e-005,4.93117e-006,0.000946373,4.10931e-007,4.52024e-006,4.93117e-006
9.32812e-005,4.52024e-006,0.00287816,8.21861e-007,4.93117e-006,6.16396e-006
9.24594e-005,4.52024e-006,0.000943086,8.21861e-007,5.3421e-006,5.75303e-006
9.32812e-005,3.28744e-006,0.000930758,8.21861e-007,4.52024e-006,4.93117e-006
9.61578e-005,3.28744e-006,0.000937333,8.21861e-007,5.3421e-006,4.93117e-006
0.00010602,3.69838e-006,0.000979248,1.23279e-006,4.93117e-006,5.3421e-006
9.24594e-005,2.87651e-006,0.000882268,4.10931e-007,4.52024e-006,6.16396e-006
0.000352989,3.69838e-006,0.000943908,8.21861e-007,6.57489e-006,7.39675e-006
9.24594e-005,3.69838e-006,0.000921717,4.10931e-007,4.52024e-006,5.3421e-006
9.53359e-005,3.28744e-006,0.000928292,4.10931e-007,4.52024e-006,4.93117e-006
9.57468e-005,2.87651e-006,0.000933223,8.21861e-007,4.93117e-006,5.3421e-006
0.00010602,3.69838e-006,0.00094062,1.64372e-006,5.3421e-006,4.93117e-006
8.42408e-005,3.28744e-006,0.000932402,4.10931e-007,4.52024e-006,5.75303e-006
9.12266e-005,3.69838e-006,0.000930758,4.10931e-007,4.52024e-006,6.98582e-006
0.000101089,3.28744e-006,0.000955003,4.10931e-007,4.93117e-006,5.3421e-006
0.000196425,3.28744e-006,0.000940209,8.21861e-007,5.3421e-006,4.93117e-006
0.000189439,3.28744e-006,0.0009098,8.21861e-006,4.93117e-006,5.3421e-006
0.000108486,3.28744e-006,0.00389069,8.21861e-007,4.52024e-006,5.3421e-006
7.93096e-005,3.69838e-006,0.000983357,8.21861e-007,4.52024e-006,5.3421e-006
9.65687e-005,3.28744e-006,0.00090076,4.10931e-007,4.93117e-006,6.57489e-006
9.61578e-005,3.28744e-006,0.000968152,8.21861e-007,5.75303e-006,5.3421e-006
9.32812e-005,3.28744e-006,0.000932812,4.10931e-007,5.3421e-006,5.3421e-006
